candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
FR,13,29,18,17,23,,,pt2,left
FRo,9,29,17,14,31,,,pt2,left
RG,5,32,27,10,,,,pt2,left
MT,12,24,23,6,,,,pt2,left
FH,5,20,29,31,,,,pt2,left
JLM,3,17,25,36,19,,,pt2,left
OF,17,18,32,33,,,,pt2,left
DV,2,31,50,4,,,,pt2,left
GA,5,9,18,54,14,,,pt2,left
EP,2,21,53,12,,,,pt2,left
BC,5,6,75,6,,,,pt2,left
YBP,2,8,67,12,,,,pt2,left
XB,5,6,8,33,48,,,pt2,left
AB,2,13,32,44,,,,pt2,left
